customer_id,company_name,industry,region_id,city,employee_size,created_date,churn_date,status
C1063,Silverline Education Services,Healthcare,R03,Dallas,1000,2020-01-04,,Active
C1002,Gateway Systems,Education,R03,Atlanta,500,2020-01-05,,Active
C1061,Capstone Industries,Retail,R04,San Francisco,750,2020-01-10,,Active
C1101,Prairie Manufacturing,Utilities,R04,Los Angeles,750,2020-01-10,,Active
C1127,Capstone Partners,Construction,R03,Houston,200,2020-01-14,,Active
C1160,BluePeak Partners,Education,R04,Seattle,250,2020-01-15,,Active
C1093,Lakeside Retail Group,Manufacturing,R01,Minneapolis,100,2020-01-20,2022-01-27,Churned
C1033,Beacon Partners,Transportation,R01,Minneapolis,1500,2020-01-22,2021-12-28,Churned
C1131,Horizon Holdings,Education,R01,Minneapolis,150,2020-01-28,,Active
C1065,MidStates Manufacturing,Utilities,R02,Pittsburgh,250,2020-02-02,,Active
C1123,Summit Health,Technology,R01,Kansas City,150,2020-02-03,,Active
C1001,Beacon Health,Transportation,R02,New York,75,2020-02-04,,Active
C1149,Atlas Industries,Manufacturing,R02,Newark,150,2020-02-07,,Active
C1115,Evergreen Construction,Nonprofit,R03,Dallas,500,2020-02-20,,Active
C1013,Redwood Retail Group,Transportation,R01,St. Louis,350,2020-02-21,,Active
C1004,BrightPath Energy,Utilities,R03,Charlotte,350,2020-02-21,,Active
C1078,Crescent Tech,Utilities,R04,San Francisco,500,2020-02-22,,Active
C1106,Silverline Solutions,Manufacturing,R04,Phoenix,750,2020-02-22,,Active
C1110,Redwood Energy,Technology,R04,Los Angeles,75,2020-02-23,,Active
C1048,SunCore Partners,Finance,R01,Minneapolis,50,2020-02-27,,Active
C1152,Atlas Manufacturing,Technology,R04,Phoenix,75,2020-02-29,,Active
C1103,BrightPath Industries,Manufacturing,R02,Newark,750,2020-03-03,,Active
C1102,BrightPath Logistics,Utilities,R02,Boston,1500,2020-03-05,2022-06-21,Churned
C1112,Cedar Systems,Healthcare,R04,San Diego,1000,2020-03-06,,Active
C1133,Cobalt Education Services,Healthcare,R02,Pittsburgh,350,2020-03-08,,Active
C1085,Granite Logistics,Finance,R03,Atlanta,250,2020-03-10,,Active
C1076,SunCore Education Services,Retail,R02,Philadelphia,1000,2020-03-16,2020-10-07,Churned
C1107,SunCore Supply,Retail,R01,Minneapolis,150,2020-03-18,2022-12-12,Churned
C1100,Pinecrest Industries,Technology,R02,Boston,250,2020-03-22,2022-05-15,Churned
C1058,Summit Education Services,Utilities,R01,St. Louis,75,2020-03-26,,Active
C1068,Cobalt Industries,Education,R02,Pittsburgh,150,2020-03-30,,Active
C1120,BrightPath Partners,Transportation,R04,Seattle,350,2020-04-02,,Active
C1059,Crescent Health,Nonprofit,R04,San Francisco,350,2020-04-03,,Active
C1166,Northbridge Solutions,Nonprofit,R03,Atlanta,250,2020-04-04,,Active
C1072,Metro Logistics,Utilities,R02,Pittsburgh,1000,2020-04-05,,Active
C1104,Capstone Health,Utilities,R01,Minneapolis,75,2020-04-07,,Active
