order_id,order_date,customer_id,product_id,sales_rep_id,region_id,quantity,unit_price,discount_pct,revenue,cogs,gross_profit
O090000,2020-01-09,C1002,P02,SR115,R03,4,800,0.024,3123.09,880,2243.09
O090001,2020-01-01,C1093,P02,SR126,R01,3,800,0.0139,2366.68,660,1706.68
O090002,2020-01-05,C1002,P01,SR111,R03,1,1200,0.0,1200.0,350,850.0
O090003,2020-01-19,C1127,P02,SR115,R03,1,800,0.0112,791.01,220,571.01
O090004,2020-01-02,C1101,P01,SR115,R04,1,1200,0.0484,1141.92,350,791.92
O090005,2020-01-03,C1131,P01,SR126,R01,1,1200,0.1075,1071.04,350,721.04
O090006,2020-01-17,C1061,P01,SR115,R04,1,1200,0.0294,1164.76,350,814.76
O090007,2020-01-02,C1127,P01,SR115,R03,1,1200,0.0973,1083.2,350,733.2
O090008,2020-01-01,C1160,P01,SR126,R04,1,1200,0.0924,1089.11,350,739.11
O090009,2020-01-11,C1061,P03,SR126,R04,1,5000,0.1298,4351.08,2500,1851.08
O090010,2020-01-30,C1127,P01,SR118,R03,1,1200,0.0,1200.0,350,850.0
O090011,2020-01-05,C1063,P01,SR115,R03,1,1200,0.0258,1169.04,350,819.04
O090012,2020-01-30,C1002,P01,SR118,R03,1,1200,0.0227,1172.8,350,822.8
O090013,2020-01-02,C1033,P01,SR126,R01,1,1200,0.0808,1103.04,350,753.04
O090014,2020-01-03,C1093,P02,SR118,R01,1,800,0.0122,790.2,220,570.2
O090015,2020-01-05,C1002,P01,SR111,R03,2,1200,0.0582,2260.32,700,1560.32
O090016,2020-01-21,C1033,P03,SR118,R01,1,5000,0.0145,4927.34,2500,2427.34
O090017,2020-01-20,C1127,P01,SR115,R03,2,1200,0.0412,2301.23,700,1601.23
O090018,2020-01-19,C1101,P02,SR111,R04,1,800,0.0,800.0,220,580.0
O090019,2020-01-31,C1101,P02,SR111,R04,3,800,0.0082,2380.26,660,1720.26
O090020,2020-01-22,C1131,P01,SR111,R01,2,1200,0.0884,2187.91,700,1487.91
O090021,2020-01-15,C1160,P01,SR115,R04,1,1200,0.0,1200.0,350,850.0
O090022,2020-01-14,C1063,P02,SR126,R03,1,800,0.0114,790.91,220,570.91
O090023,2020-01-02,C1127,P01,SR118,R03,1,1200,0.0534,1135.86,350,785.86
O090024,2020-01-24,C1002,P01,SR118,R03,1,1200,0.0992,1080.9,350,730.9
O090025,2020-01-31,C1131,P01,SR111,R01,1,1200,0.0209,1174.97,350,824.97
O090026,2020-01-21,C1002,P01,SR111,R03,1,1200,0.0534,1135.91,350,785.91
O090027,2020-01-11,C1061,P03,SR111,R04,1,5000,0.0126,4936.87,2500,2436.87
O090028,2020-01-24,C1061,P01,SR126,R04,1,1200,0.021,1174.86,350,824.86
O090029,2020-01-04,C1101,P01,SR126,R04,1,1200,0.075,1110.03,350,760.03
O090030,2020-01-29,C1127,P01,SR126,R03,1,1200,0.0553,1133.65,350,783.65
O090031,2020-01-25,C1033,P03,SR118,R01,1,5000,0.0198,4900.99,2500,2400.99
O090032,2020-01-28,C1127,P01,SR126,R03,2,1200,0.0241,2342.08,700,1642.08
O090033,2020-01-09,C1002,P01,SR118,R03,3,1200,0.0593,3386.52,1050,2336.52
O090034,2020-01-04,C1033,P01,SR111,R01,1,1200,0.0445,1146.55,350,796.55
O090035,2020-01-17,C1033,P03,SR115,R01,1,5000,0.0445,4777.69,2500,2277.69
O090036,2020-01-02,C1127,P03,SR115,R03,1,5000,0.1057,4471.49,2500,1971.49
O090037,2020-01-25,C1127,P01,SR126,R03,4,1200,0.0021,4790.1,1400,3390.1
O090038,2020-01-27,C1131,P02,SR126,R01,1,800,0.0,800.0,220,580.0
O090039,2020-01-16,C1160,P01,SR126,R04,1,1200,0.0,1200.0,350,850.0
O090040,2020-01-27,C1131,P01,SR126,R01,1,1200,0.0461,1144.72,350,794.72
O090041,2020-01-23,C1093,P01,SR115,R01,1,1200,0.041,1150.78,350,800.78
O090042,2020-01-26,C1033,P02,SR126,R01,1,800,0.0655,747.57,220,527.57
O090043,2020-01-24,C1061,P01,SR126,R04,1,1200,0.0305,1163.36,350,813.36
O090044,2020-01-06,C1061,P02,SR111,R04,1,800,0.0332,773.45,220,553.45
O090045,2020-01-03,C1002,P01,SR126,R03,1,1200,0.0,1200.0,350,850.0
O090046,2020-01-12,C1033,P01,SR118,R01,1,1200,0.0113,1186.4,350,836.4
O090047,2020-01-22,C1033,P03,SR118,R01,1,5000,0.0679,4660.74,2500,2160.74
O090048,2020-01-21,C1063,P02,SR111,R03,1,800,0.0493,760.57,220,540.57
